checkpoint,stage,first_tok_entropy,mean_pairwise_bleu,mean_story_length,coherence_loss
50M,base,3.0259570642641753,2.4555430826994127,16.06,4.41932713508606
50M,ppo,2.847752348673658,3.3077213560040457,19.68,4.07645881652832
200M,base,3.090169310296368,2.397800948394032,17.84,4.074282364845276
200M,ppo,2.790016002206227,3.06038938580349,19.34,4.0180151081085205
