base,layer,head,score_base,score_ppo,delta_induction
200M,8,8,0.0050817630253732204,0.005231174640357494,0.0001494116149842739
200M,8,9,0.013966389000415802,0.01311348844319582,-0.0008529005572199821
200M,8,10,0.016570651903748512,0.014850744977593422,-0.0017199069261550903
200M,8,11,0.019474418833851814,0.016880199313163757,-0.002594219520688057
200M,9,0,0.04160681739449501,0.04040863737463951,-0.0011981800198554993
200M,9,1,0.025729311630129814,0.02275967225432396,-0.002969639375805855
200M,9,2,0.02424793876707554,0.0229475237429142,-0.0013004150241613388
200M,9,3,0.017276156693696976,0.017587317153811455,0.00031116046011447906
200M,9,4,0.0197746641933918,0.02024063654243946,0.00046597234904766083
200M,9,5,0.01777440868318081,0.01785290613770485,7.849745452404022e-05
200M,9,6,0.03760737553238869,0.03850647062063217,0.0008990950882434845
200M,9,7,0.043029993772506714,0.040588442236185074,-0.00244155153632164
200M,9,8,0.028035307303071022,0.026006503030657768,-0.002028804272413254
200M,9,9,0.01924954541027546,0.016888396814465523,-0.0023611485958099365
200M,9,10,0.4513559937477112,0.4492993950843811,-0.002056598663330078
200M,9,11,0.10577820986509323,0.10310710966587067,-0.0026711001992225647
200M,10,0,0.040675997734069824,0.03655345365405083,-0.004122544080018997
200M,10,1,0.027370182797312737,0.025705087929964066,-0.001665094867348671
200M,10,2,0.029785998165607452,0.030518222600221634,0.0007322244346141815
200M,10,3,0.024957546964287758,0.025980284437537193,0.0010227374732494354
200M,10,4,0.019212421029806137,0.018032748252153397,-0.0011796727776527405
200M,10,5,0.04147477075457573,0.043849099427461624,0.0023743286728858948
200M,10,6,0.026369107887148857,0.02622932195663452,-0.00013978593051433563
200M,10,7,0.15142473578453064,0.1492733508348465,-0.002151384949684143
200M,10,8,0.06029167026281357,0.05812154337763786,-0.002170126885175705
200M,10,9,0.07149249315261841,0.0710105299949646,-0.0004819631576538086
200M,10,10,0.03514482080936432,0.03744861111044884,0.0023037903010845184
200M,10,11,0.019823167473077774,0.020504074171185493,0.0006809066981077194
200M,11,0,0.11372929066419601,0.11308887600898743,-0.0006404146552085876
200M,11,1,0.027843227609992027,0.029509631916880608,0.0016664043068885803
200M,11,2,0.02804054506123066,0.02498309127986431,-0.0030574537813663483
200M,11,3,0.05658060684800148,0.05355142056941986,-0.0030291862785816193
200M,11,4,0.02307930961251259,0.024772178381681442,0.0016928687691688538
200M,11,5,0.02673966996371746,0.025736594572663307,-0.0010030753910541534
200M,11,6,0.036917444318532944,0.03516503423452377,-0.0017524100840091705
200M,11,7,0.0260007344186306,0.027895096689462662,0.0018943622708320618
200M,11,8,0.024694345891475677,0.02856597863137722,0.0038716327399015427
200M,11,9,0.042592603713274,0.038998037576675415,-0.003594566136598587
200M,11,10,0.0285623911768198,0.027077767997980118,-0.0014846231788396835
200M,11,11,0.02760811150074005,0.02330354042351246,-0.0043045710772275925
