Checkpoint,Peak Induction Score (v4),KL Commit Layer (std),KL Commit Layer (tuned),Coref Logit Diff (mean),Attn Entropy (median),1st-Tok Entropy,Pairwise BLEU
10M words,0.025,1,8,1.313,2.568,2.484,2.25
20M words,0.028,1,3,0.826,2.437,2.623,3.14
50M words,0.034,2,9,0.755,2.048,2.081,2.94
200M words,0.553,8,9,0.575,1.919,2.346,2.86
1000M words,0.640,10,10,0.580,1.705,2.320,3.87
50M+PPO (delta),Δmax=0.003  ↑39 ↓105 heads,n/a,n/a,n/a,n/a,n/a,n/a
200M+PPO (delta),Δmax=0.021  ↑66 ↓78 heads,n/a,n/a,n/a,n/a,n/a,n/a
