checkpoint,first_tok_entropy,mean_pairwise_bleu
10M,2.4843668399738013,2.2479217096923385
20M,2.6229962760857903,3.135166327161466
50M,2.0805571600284205,2.9405077451506823
200M,2.3457374038618126,2.8621616069285007
1000M,2.3195749966735852,3.868455635055163
