checkpoint,delta_first_tok_entropy,delta_pairwise_bleu,delta_story_length,delta_coherence
50M,-0.17820471559051754,0.852178273304633,3.620000000000001,-0.34286831855773947
200M,-0.3001533080901413,0.6625884374094579,1.5,-0.05626725673675548
