checkpoint,layer,kl_divergence,kl_tuned,commit_standard,commit_tuned
10M,0,0.6409573554992676,2.6559815406799316,1,8
10M,1,0.33714044094085693,2.603545665740967,1,8
10M,2,0.2506359815597534,1.995540976524353,1,8
10M,3,0.21098437905311584,1.5495636463165283,1,8
10M,4,0.1929398775100708,1.2678130865097046,1,8
10M,5,0.15492796897888184,0.9673527479171753,1,8
10M,6,0.1182585284113884,0.7306164503097534,1,8
10M,7,0.08274945616722107,0.5226218104362488,1,8
10M,8,0.04752316325902939,0.3530203402042389,1,8
10M,9,0.025094471871852875,0.3065776824951172,1,8
10M,10,0.0088176429271698,0.24729356169700623,1,8
10M,11,0.00036330698640085757,0.17015324532985687,1,8
20M,0,0.5081099271774292,1.6101551055908203,1,3
20M,1,0.21638338267803192,0.9194765090942383,1,3
20M,2,0.17938733100891113,0.6232801079750061,1,3
20M,3,0.1645336151123047,0.3099685609340668,1,3
20M,4,0.14409108459949493,0.21707692742347717,1,3
20M,5,0.12857189774513245,0.1771041303873062,1,3
20M,6,0.09749604761600494,0.1636895090341568,1,3
20M,7,0.08375133574008942,0.1610531359910965,1,3
20M,8,0.048159968107938766,0.17325565218925476,1,3
20M,9,0.03064180165529251,0.1714792549610138,1,3
20M,10,0.013401727192103863,0.17122215032577515,1,3
20M,11,0.00156977993901819,0.15808454155921936,1,3
50M,0,0.6304233074188232,0.9585464000701904,2,9
50M,1,0.524958074092865,0.8674103021621704,2,9
50M,2,0.41876015067100525,0.8863892555236816,2,9
50M,3,0.32583484053611755,0.8216137886047363,2,9
50M,4,0.28668367862701416,0.8345116972923279,2,9
50M,5,0.2738521993160248,0.8626939058303833,2,9
50M,6,0.2557370066642761,0.8836702704429626,2,9
50M,7,0.29405683279037476,0.8822295665740967,2,9
50M,8,0.196742981672287,0.5622045397758484,2,9
50M,9,0.10670468956232071,0.3969419002532959,2,9
50M,10,0.045812420547008514,0.264891117811203,2,9
50M,11,0.009610501118004322,0.2792954444885254,2,9
200M,0,2.0290467739105225,2.4773828983306885,8,9
200M,1,1.8825209140777588,2.641897678375244,8,9
200M,2,1.8417530059814453,2.3560240268707275,8,9
200M,3,1.6886601448059082,2.307063579559326,8,9
200M,4,1.5696868896484375,2.049940586090088,8,9
200M,5,1.4335403442382812,1.8190860748291016,8,9
200M,6,1.0368283987045288,1.8867347240447998,8,9
200M,7,0.7745710611343384,1.7249188423156738,8,9
200M,8,0.3666599988937378,0.9721996784210205,8,9
200M,9,0.2295096218585968,0.40183383226394653,8,9
200M,10,0.06831592321395874,0.20092809200286865,8,9
200M,11,0.046767693012952805,0.18290948867797852,8,9
1000M,0,4.261584758758545,4.654177188873291,10,10
1000M,1,4.423795700073242,4.261314392089844,10,10
1000M,2,4.147914886474609,3.7756049633026123,10,10
1000M,3,3.8180947303771973,3.4381368160247803,10,10
1000M,4,3.699533462524414,3.332948684692383,10,10
1000M,5,3.277007818222046,3.063723564147949,10,10
1000M,6,2.170750856399536,2.3755369186401367,10,10
1000M,7,0.9800500869750977,1.835566520690918,10,10
1000M,8,0.7065040469169617,1.2750208377838135,10,10
1000M,9,0.8616155982017517,0.6037696003913879,10,10
1000M,10,0.2695818543434143,0.22293442487716675,10,10
1000M,11,0.09761877357959747,0.3390866219997406,10,10
