checkpoint,layer,head,entropy
100M,5,5,1.9131158590316772
100M,5,6,2.2378652095794678
100M,5,7,2.213949203491211
100M,5,8,1.2214875221252441
100M,5,9,1.2564336061477661
100M,5,10,2.313967227935791
100M,5,11,2.0976881980895996
100M,6,0,1.4149576425552368
100M,6,1,2.220940113067627
100M,6,2,1.750002145767212
100M,6,3,2.1788172721862793
100M,6,4,2.213731050491333
100M,6,5,2.236393451690674
100M,6,6,1.9845958948135376
100M,6,7,1.5281023979187012
100M,6,8,1.9463844299316406
100M,6,9,2.1220147609710693
100M,6,10,1.875101089477539
100M,6,11,1.0185600519180298
100M,7,0,1.791582465171814
100M,7,1,1.7372010946273804
100M,7,2,2.1025993824005127
100M,7,3,1.7878568172454834
100M,7,4,2.3166863918304443
100M,7,5,2.271981716156006
100M,7,6,1.725704550743103
100M,7,7,0.968328595161438
100M,7,8,1.754720687866211
100M,7,9,2.0879058837890625
100M,7,10,1.8335034847259521
100M,7,11,2.059797763824463
100M,8,0,1.4372658729553223
100M,8,1,1.6438604593276978
100M,8,2,1.7758629322052002
100M,8,3,1.6974875926971436
100M,8,4,1.324120283126831
100M,8,5,1.5585110187530518
100M,8,6,1.9250974655151367
100M,8,7,1.5378321409225464
100M,8,8,0.6617629528045654
100M,8,9,1.9725087881088257
100M,8,10,1.2909002304077148
100M,8,11,1.8861125707626343
100M,9,0,2.038442611694336
100M,9,1,2.0126378536224365
100M,9,2,1.101714015007019
100M,9,3,1.7402092218399048
100M,9,4,0.6948161125183105
100M,9,5,1.0660349130630493
100M,9,6,1.375859022140503
100M,9,7,1.7694286108016968
100M,9,8,2.1293530464172363
100M,9,9,1.5679168701171875
100M,9,10,1.7030366659164429
100M,9,11,1.553364634513855
100M,10,0,2.256859302520752
100M,10,1,2.110426187515259
100M,10,2,1.6841299533843994
100M,10,3,1.8777430057525635
100M,10,4,1.2169238328933716
100M,10,5,1.5053106546401978
100M,10,6,1.5080639123916626
100M,10,7,1.3980046510696411
100M,10,8,1.891211748123169
100M,10,9,2.0435070991516113
100M,10,10,2.0779311656951904
100M,10,11,1.8562570810317993
100M,11,0,2.153228521347046
100M,11,1,1.9790418148040771
100M,11,2,1.6493408679962158
100M,11,3,1.7261120080947876
100M,11,4,1.8003294467926025
100M,11,5,2.2452945709228516
100M,11,6,2.099132776260376
100M,11,7,1.9245996475219727
100M,11,8,1.9885060787200928
100M,11,9,1.7006056308746338
100M,11,10,1.8641159534454346
100M,11,11,1.5453822612762451
200M,0,0,2.1180546283721924
200M,0,1,2.4006400108337402
200M,0,2,1.777605414390564
200M,0,3,2.0334951877593994
200M,0,4,2.0485503673553467
200M,0,5,1.1624670028686523
200M,0,6,2.2028183937072754
200M,0,7,2.372690439224243
200M,0,8,1.5538121461868286
200M,0,9,2.581923007965088
200M,0,10,2.446540117263794
200M,0,11,1.3908387422561646
200M,1,0,2.1668882369995117
200M,1,1,2.3223071098327637
200M,1,2,2.282111406326294
200M,1,3,2.3421361446380615
200M,1,4,1.5992189645767212
200M,1,5,1.9790633916854858
200M,1,6,2.3187098503112793
200M,1,7,2.3277974128723145
200M,1,8,2.3819217681884766
200M,1,9,1.3026788234710693
200M,1,10,2.3702733516693115
200M,1,11,2.385021924972534
200M,2,0,2.151293992996216
200M,2,1,1.95047926902771
200M,2,2,2.3742282390594482
200M,2,3,1.9303058385849
200M,2,4,1.939485788345337
200M,2,5,2.197828769683838
200M,2,6,1.7509750127792358
200M,2,7,2.139787197113037
200M,2,8,1.9800952672958374
200M,2,9,2.310345411300659
200M,2,10,2.220999240875244
200M,2,11,1.8599071502685547
200M,3,0,1.8766206502914429
200M,3,1,1.4760562181472778
200M,3,2,2.3297080993652344
200M,3,3,2.245718479156494
200M,3,4,2.046626567840576
200M,3,5,2.3707947731018066
200M,3,6,1.8642427921295166
200M,3,7,2.223703384399414
200M,3,8,2.0581984519958496
200M,3,9,1.952056646347046
200M,3,10,1.8306910991668701
200M,3,11,2.0984199047088623
200M,4,0,1.833824872970581
200M,4,1,1.9844757318496704
200M,4,2,0.44587478041648865
200M,4,3,2.0253193378448486
200M,4,4,2.021235227584839
200M,4,5,2.0970308780670166
200M,4,6,1.964956283569336
200M,4,7,2.171975612640381
200M,4,8,2.1790213584899902
200M,4,9,2.276392698287964
200M,4,10,1.4640722274780273
200M,4,11,2.202972888946533
200M,5,0,1.8677364587783813
200M,5,1,1.5246431827545166
200M,5,2,2.124903440475464
200M,5,3,1.4967195987701416
200M,5,4,2.0337305068969727
200M,5,5,1.9367529153823853
200M,5,6,1.995344877243042
200M,5,7,2.073268175125122
200M,5,8,0.9924033284187317
200M,5,9,1.33565354347229
200M,5,10,2.1796929836273193
200M,5,11,2.160167694091797
200M,6,0,1.2231255769729614
200M,6,1,1.8723108768463135
200M,6,2,1.8587417602539062
200M,6,3,2.1327872276306152
200M,6,4,2.2157950401306152
200M,6,5,1.9990497827529907
200M,6,6,1.9731371402740479
200M,6,7,1.168000340461731
200M,6,8,1.9703218936920166
200M,6,9,2.201226234436035
200M,6,10,1.8770191669464111
200M,6,11,0.9398066401481628
200M,7,0,2.0229742527008057
200M,7,1,1.4773991107940674
200M,7,2,1.9666475057601929
200M,7,3,1.6651637554168701
200M,7,4,2.1768109798431396
200M,7,5,2.025534152984619
200M,7,6,1.7641174793243408
200M,7,7,1.0339547395706177
200M,7,8,1.654618263244629
200M,7,9,1.8593679666519165
200M,7,10,1.9880883693695068
200M,7,11,2.015385150909424
200M,8,0,0.746773898601532
200M,8,1,1.4410232305526733
200M,8,2,1.8886306285858154
200M,8,3,1.63565993309021
200M,8,4,1.3422728776931763
200M,8,5,1.6404392719268799
200M,8,6,1.8533611297607422
200M,8,7,1.621664047241211
200M,8,8,0.5748614072799683
200M,8,9,1.609899878501892
200M,8,10,1.2097859382629395
200M,8,11,2.0298972129821777
200M,9,0,1.9111268520355225
200M,9,1,1.5416908264160156
200M,9,2,1.0520503520965576
200M,9,3,1.5947636365890503
200M,9,4,0.9455024003982544
200M,9,5,1.0851025581359863
200M,9,6,1.760837197303772
200M,9,7,1.8593671321868896
200M,9,8,2.1528637409210205
200M,9,9,1.645437479019165
200M,9,10,1.2814373970031738
200M,9,11,1.6474311351776123
200M,10,0,2.190633535385132
200M,10,1,1.9932647943496704
200M,10,2,1.816827416419983
200M,10,3,1.7698068618774414
200M,10,4,0.9609100222587585
200M,10,5,1.7081972360610962
200M,10,6,1.8574520349502563
200M,10,7,1.5939900875091553
200M,10,8,1.748567819595337
200M,10,9,2.048084020614624
200M,10,10,1.9653856754302979
200M,10,11,1.6964194774627686
200M,11,0,2.171288251876831
200M,11,1,1.8364537954330444
200M,11,2,2.005011796951294
200M,11,3,1.5973033905029297
200M,11,4,1.908673644065857
200M,11,5,2.1576972007751465
200M,11,6,1.9851748943328857
200M,11,7,2.0129752159118652
200M,11,8,2.0621676445007324
200M,11,9,1.6402177810668945
200M,11,10,2.0682437419891357
200M,11,11,1.5746958255767822
1000M,0,0,1.9515174627304077
1000M,0,1,2.2988083362579346
1000M,0,2,1.5400971174240112
1000M,0,3,1.7266483306884766
1000M,0,4,1.6615135669708252
1000M,0,5,0.7416627407073975
1000M,0,6,2.122567892074585
1000M,0,7,2.191899299621582
1000M,0,8,1.2369649410247803
1000M,0,9,2.539050579071045
1000M,0,10,2.2593674659729004
1000M,0,11,0.4002884030342102
1000M,1,0,2.214895009994507
1000M,1,1,2.131230115890503
1000M,1,2,2.0973458290100098
1000M,1,3,2.2295444011688232
1000M,1,4,1.389649510383606
1000M,1,5,1.634904146194458
1000M,1,6,1.8417291641235352
1000M,1,7,2.3830695152282715
1000M,1,8,2.245140552520752
1000M,1,9,0.28639405965805054
1000M,1,10,2.385002851486206
