checkpoint,first_tok_entropy,mean_pairwise_bleu
10M,3.138825123269348,6.467041982851663
20M,3.029984166974313,5.485822268214414
50M,3.0401290679425492,3.0625971885178873
60M,2.5582859828868876,2.0431032772477313
100M,3.053682951486573,2.6139505965975904
200M,2.939690481928249,2.5775483043535843
1000M,2.6222762494910006,3.668871292743736
