layer,head,dla_contribution,probe,checkpoint
10,0,-0.0028202200774103403,dog/cat,10M
10,1,-0.0020699729211628437,dog/cat,10M
10,2,-0.0018776771612465382,dog/cat,10M
10,3,-0.0004214332439005375,dog/cat,10M
10,4,-0.005688639357686043,dog/cat,10M
10,5,-0.008350741118192673,dog/cat,10M
10,6,0.001151846256107092,dog/cat,10M
10,7,0.003304883139207959,dog/cat,10M
10,8,-0.0016123466193675995,dog/cat,10M
10,9,-0.003097869222983718,dog/cat,10M
10,10,0.0008725199149921536,dog/cat,10M
10,11,-0.0011652919929474592,dog/cat,10M
11,0,-0.0026495589409023523,dog/cat,10M
11,1,-0.0027196775190532207,dog/cat,10M
11,2,-0.012629718519747257,dog/cat,10M
11,3,-0.0033262823708355427,dog/cat,10M
11,4,-0.005506767425686121,dog/cat,10M
11,5,-0.003507411340251565,dog/cat,10M
11,6,-0.005797103047370911,dog/cat,10M
11,7,0.0016787938075140119,dog/cat,10M
11,8,-0.0022888747043907642,dog/cat,10M
11,9,0.0018400759436190128,dog/cat,10M
11,10,0.003760169493034482,dog/cat,10M
11,11,-0.005410895217210054,dog/cat,10M
0,0,-0.0004967884160578251,boy/girl,10M
0,1,-0.0007591050234623253,boy/girl,10M
0,2,-0.0012060482986271381,boy/girl,10M
0,3,-0.0010629043681547046,boy/girl,10M
0,4,-0.0005813512252643704,boy/girl,10M
0,5,0.0004419468459673226,boy/girl,10M
0,6,0.00018673055456019938,boy/girl,10M
0,7,0.0002451359760016203,boy/girl,10M
0,8,0.0005133770173415542,boy/girl,10M
0,9,0.001004766090773046,boy/girl,10M
0,10,0.0007292999653145671,boy/girl,10M
0,11,-0.0013706679455935955,boy/girl,10M
1,0,-0.0015467855846509337,boy/girl,10M
1,1,-9.56267467699945e-05,boy/girl,10M
1,2,0.006680373568087816,boy/girl,10M
1,3,-0.0007326502818614244,boy/girl,10M
1,4,0.004880861379206181,boy/girl,10M
1,5,-0.0058362106792628765,boy/girl,10M
1,6,-0.008152246475219727,boy/girl,10M
1,7,0.00016211159527301788,boy/girl,10M
1,8,-0.003912661224603653,boy/girl,10M
1,9,-0.008837234228849411,boy/girl,10M
1,10,0.00222789216786623,boy/girl,10M
1,11,-0.0024588836822658777,boy/girl,10M
2,0,0.0064215208403766155,boy/girl,10M
2,1,0.0035364050418138504,boy/girl,10M
2,2,-0.006314332131296396,boy/girl,10M
2,3,-0.00020686164498329163,boy/girl,10M
2,4,-0.0009227567352354527,boy/girl,10M
2,5,-0.001366751966997981,boy/girl,10M
2,6,0.00045579858124256134,boy/girl,10M
2,7,0.001323140226304531,boy/girl,10M
2,8,-0.0007601036923006177,boy/girl,10M
2,9,-0.0032918774522840977,boy/girl,10M
2,10,0.002790917409583926,boy/girl,10M
2,11,0.002401036908850074,boy/girl,10M
3,0,0.0015832128701731563,boy/girl,10M
3,1,0.0002239494351670146,boy/girl,10M
3,2,0.00015322677791118622,boy/girl,10M
3,3,-0.00509734358638525,boy/girl,10M
3,4,0.002839299850165844,boy/girl,10M
3,5,0.00012560759205371141,boy/girl,10M
3,6,0.0022072317078709602,boy/girl,10M
3,7,8.209398947656155e-05,boy/girl,10M
3,8,0.0039002513512969017,boy/girl,10M
3,9,0.0017968998290598392,boy/girl,10M
3,10,-0.0017985464073717594,boy/girl,10M
3,11,-0.0005085727898404002,boy/girl,10M
4,0,-0.0018303871620446444,boy/girl,10M
4,1,-0.0023788069374859333,boy/girl,10M
4,2,0.007365068420767784,boy/girl,10M
4,3,7.96747044660151e-05,boy/girl,10M
4,4,0.002608796814456582,boy/girl,10M
4,5,0.001685295719653368,boy/girl,10M
4,6,-0.0005940267583355308,boy/girl,10M
4,7,0.005505984183400869,boy/girl,10M
4,8,-0.0021312390454113483,boy/girl,10M
4,9,-0.0013325577601790428,boy/girl,10M
4,10,0.0030284523963928223,boy/girl,10M
4,11,-0.0055603040382266045,boy/girl,10M
5,0,0.00033691793214529753,boy/girl,10M
5,1,-0.004120795521885157,boy/girl,10M
5,2,-0.0036718938499689102,boy/girl,10M
5,3,0.0019618726801127195,boy/girl,10M
5,4,-0.0014946814626455307,boy/girl,10M
5,5,-0.0028217423241585493,boy/girl,10M
5,6,-0.0017054167110472918,boy/girl,10M
5,7,0.001970047364011407,boy/girl,10M
5,8,0.001506081665866077,boy/girl,10M
5,9,0.00500843022018671,boy/girl,10M
5,10,0.0069744642823934555,boy/girl,10M
5,11,-0.0028875283896923065,boy/girl,10M
6,0,-0.0059771412052214146,boy/girl,10M
6,1,-0.003003746038302779,boy/girl,10M
6,2,0.0022639837116003036,boy/girl,10M
6,3,-0.00015641898789908737,boy/girl,10M
6,4,0.0044299038127064705,boy/girl,10M
6,5,0.001079604378901422,boy/girl,10M
6,6,-0.0009650317952036858,boy/girl,10M
6,7,0.0008207788341678679,boy/girl,10M
6,8,-0.0020699226297438145,boy/girl,10M
6,9,0.0009189688134938478,boy/girl,10M
6,10,-0.00418984517455101,boy/girl,10M
6,11,0.00019159168004989624,boy/girl,10M
7,0,-0.0016659575048834085,boy/girl,10M
7,1,0.003271614434197545,boy/girl,10M
7,2,0.001033397507853806,boy/girl,10M
7,3,0.004517790395766497,boy/girl,10M
7,4,-0.0014403634704649448,boy/girl,10M
7,5,-0.0010597435757517815,boy/girl,10M
7,6,0.001830702880397439,boy/girl,10M
7,7,0.0011994002852588892,boy/girl,10M
7,8,-0.0014294765423983335,boy/girl,10M
7,9,0.0004757493734359741,boy/girl,10M
7,10,-0.00033800408709794283,boy/girl,10M
7,11,-0.004910638090223074,boy/girl,10M
8,0,0.0036272872239351273,boy/girl,10M
8,1,0.0006950307870283723,boy/girl,10M
8,2,-0.0010572385508567095,boy/girl,10M
8,3,-0.0044978610239923,boy/girl,10M
8,4,0.0026185736060142517,boy/girl,10M
8,5,0.0013824563939124346,boy/girl,10M
8,6,-0.0011451842729002237,boy/girl,10M
8,7,0.003918692469596863,boy/girl,10M
8,8,0.002006051829084754,boy/girl,10M
8,9,0.003958016633987427,boy/girl,10M
8,10,0.0004719997523352504,boy/girl,10M
8,11,0.005734792910516262,boy/girl,10M
9,0,0.001202988438308239,boy/girl,10M
9,1,-0.0005505768349394202,boy/girl,10M
9,2,-0.0008559948764741421,boy/girl,10M
9,3,0.004637089092284441,boy/girl,10M
9,4,0.006053200922906399,boy/girl,10M
9,5,-2.1700398065149784e-06,boy/girl,10M
9,6,-0.0023286195937544107,boy/girl,10M
9,7,-0.002523559145629406,boy/girl,10M
9,8,0.0027411803603172302,boy/girl,10M
9,9,0.0012669358402490616,boy/girl,10M
9,10,0.0004221061244606972,boy/girl,10M
9,11,-0.0007702655275352299,boy/girl,10M
10,0,-0.0031190551817417145,boy/girl,10M
10,1,-0.0024032839573919773,boy/girl,10M
10,2,-0.0006070759845897555,boy/girl,10M
10,3,0.006321198772639036,boy/girl,10M
10,4,0.0017480154056102037,boy/girl,10M
10,5,-0.0011066319420933723,boy/girl,10M
10,6,1.7015263438224792e-05,boy/girl,10M
10,7,-0.0016524267848581076,boy/girl,10M
10,8,-0.0025853971019387245,boy/girl,10M
10,9,-0.0037388780619949102,boy/girl,10M
10,10,-0.007296866737306118,boy/girl,10M
10,11,0.0025288877077400684,boy/girl,10M
11,0,0.0013687328901141882,boy/girl,10M
11,1,-0.0010797400027513504,boy/girl,10M
11,2,-0.00025247957091778517,boy/girl,10M
11,3,0.0018104808405041695,boy/girl,10M
11,4,-0.002935282653197646,boy/girl,10M
11,5,0.0041594537906348705,boy/girl,10M
11,6,-0.0005821690429002047,boy/girl,10M
11,7,0.008291875943541527,boy/girl,10M
11,8,0.00424458272755146,boy/girl,10M
11,9,0.0019461207557469606,boy/girl,10M
11,10,0.00202403892762959,boy/girl,10M
11,11,-0.0063393618911504745,boy/girl,10M
0,0,-0.0001591114851180464,king/queen,10M
0,1,-0.0007383355405181646,king/queen,10M
