checkpoint,first_tok_entropy,mean_pairwise_bleu
10M,2.2071079677498235,2.833487110303187
20M,2.718473401330013,2.8172638850222613
50M,2.6491586832740177,2.9010081425144034
200M,2.524058077389471,2.873022762639142
1000M,2.1513220799212713,2.9119604843934863
