base,layer,head,score_base,score_ppo,delta_induction
50M,0,0,0.019166192039847374,0.018792498856782913,-0.00037369318306446075
50M,0,1,0.019984766840934753,0.019990291446447372,5.5246055126190186e-06
50M,0,2,0.012081405147910118,0.011013186536729336,-0.0010682186111807823
50M,0,3,0.020547648891806602,0.020643336698412895,9.568780660629272e-05
50M,0,4,0.020419221371412277,0.02004004269838333,-0.0003791786730289459
50M,0,5,0.01512707956135273,0.015341538935899734,0.0002144593745470047
50M,0,6,0.01982734352350235,0.020882030948996544,0.001054687425494194
50M,0,7,0.019305365160107613,0.019410328939557076,0.00010496377944946289
50M,0,8,0.01078500971198082,0.010755344294011593,-2.9665417969226837e-05
50M,0,9,0.020035309717059135,0.0206789318472147,0.0006436221301555634
50M,0,10,0.018884025514125824,0.018174909055233,-0.0007091164588928223
50M,0,11,0.014743268489837646,0.014504333958029747,-0.00023893453180789948
50M,1,0,0.017923476174473763,0.01825622282922268,0.0003327466547489166
50M,1,1,0.017389658838510513,0.018062271177768707,0.000672612339258194
50M,1,2,0.01848258264362812,0.018751777708530426,0.0002691950649023056
50M,1,3,0.018891852349042892,0.019601130858063698,0.0007092785090208054
50M,1,4,0.01713605597615242,0.017216281965374947,8.022598922252655e-05
50M,1,5,0.022042764350771904,0.021843140944838524,-0.00019962340593338013
50M,1,6,0.017349708825349808,0.016961656510829926,-0.0003880523145198822
50M,1,7,0.012715916149318218,0.01320134662091732,0.000485430471599102
50M,1,8,0.017790095880627632,0.017676454037427902,-0.00011364184319972992
50M,1,9,0.018174365162849426,0.017931945621967316,-0.0002424195408821106
50M,1,10,0.015891915187239647,0.01539952214807272,-0.0004923930391669273
50M,1,11,0.021561166271567345,0.021247174590826035,-0.0003139916807413101
50M,2,0,0.008988095447421074,0.008896144106984138,-9.195134043693542e-05
50M,2,1,0.00893343985080719,0.008732292801141739,-0.00020114704966545105
50M,2,2,0.019502121955156326,0.019881635904312134,0.0003795139491558075
50M,2,3,0.010578291490674019,0.01083768904209137,0.00025939755141735077
50M,2,4,0.011167570017278194,0.010063055902719498,-0.0011045141145586967
50M,2,5,0.020117314532399178,0.02057776413857937,0.00046044960618019104
50M,2,6,0.01140863262116909,0.01149714644998312,8.85138288140297e-05
50M,2,7,0.00741345901042223,0.007562232669442892,0.0001487736590206623
50M,2,8,0.020199110731482506,0.01958811841905117,-0.0006109923124313354
50M,2,9,0.015001367777585983,0.015407242812216282,0.0004058750346302986
50M,2,10,0.018647998571395874,0.01788325421512127,-0.0007647443562746048
50M,2,11,0.011494862847030163,0.011426162905991077,-6.869994103908539e-05
50M,3,0,0.027975859120488167,0.027744878083467484,-0.0002309810370206833
50M,3,1,0.023777581751346588,0.023227475583553314,-0.0005501061677932739
50M,3,2,0.009407604113221169,0.008572001941502094,-0.0008356021717190742
50M,3,3,0.022127646952867508,0.021069547161459923,-0.0010580997914075851
50M,3,4,0.022538820281624794,0.022155316546559334,-0.0003835037350654602
50M,3,5,0.023820320144295692,0.02278217487037182,-0.001038145273923874
50M,3,6,0.017105232924222946,0.015079403296113014,-0.002025829628109932
50M,3,7,0.02201906591653824,0.022369926795363426,0.0003508608788251877
50M,3,8,0.00830899365246296,0.0064378539100289345,-0.0018711397424340248
50M,3,9,0.007046331651508808,0.006173986010253429,-0.0008723456412553787
50M,3,10,0.018684275448322296,0.018680498003959656,-3.777444362640381e-06
50M,3,11,0.012790779583156109,0.0116545669734478,-0.0011362126097083092
50M,4,0,0.020401736721396446,0.020416157320141792,1.442059874534607e-05
50M,4,1,0.020822128280997276,0.020181188359856606,-0.0006409399211406708
50M,4,2,0.012695230543613434,0.0118035189807415,-0.000891711562871933
50M,4,3,0.009787316434085369,0.009245959110558033,-0.0005413573235273361
50M,4,4,0.013192947953939438,0.013152425177395344,-4.0522776544094086e-05
50M,4,5,0.013161293230950832,0.011966564692556858,-0.0011947285383939743
50M,4,6,0.023949356749653816,0.023165713995695114,-0.0007836427539587021
50M,4,7,0.020296216011047363,0.019733188673853874,-0.0005630273371934891
50M,4,8,0.019632024690508842,0.0189961027354002,-0.0006359219551086426
50M,4,9,0.02183348685503006,0.022449443116784096,0.000615956261754036
50M,4,10,0.012775283306837082,0.012142975814640522,-0.0006323074921965599
50M,4,11,0.015598719008266926,0.015964150428771973,0.00036543142050504684
50M,5,0,0.013865821994841099,0.012049499899148941,-0.0018163220956921577
50M,5,1,0.025492334738373756,0.027093803510069847,0.0016014687716960907
50M,5,2,0.01989315077662468,0.02088206075131893,0.000988909974694252
50M,5,3,0.01342657022178173,0.01249180268496275,-0.0009347675368189812
50M,5,4,0.02157784253358841,0.021203240379691124,-0.00037460215389728546
50M,5,5,0.005536043085157871,0.00548164127394557,-5.4401811212301254e-05
50M,5,6,0.01145985722541809,0.011074899695813656,-0.00038495752960443497
50M,5,7,0.018880855292081833,0.01898261532187462,0.00010176002979278564
50M,5,8,0.010416554287075996,0.008977091871201992,-0.0014394624158740044
50M,5,9,0.0084052300080657,0.008079233579337597,-0.00032599642872810364
50M,5,10,0.01861773058772087,0.01888122595846653,0.0002634953707456589
50M,5,11,0.021159479394555092,0.019912708550691605,-0.0012467708438634872
50M,6,0,0.01308554969727993,0.012691685929894447,-0.0003938637673854828
50M,6,1,0.014867293648421764,0.01600082963705063,0.0011335359886288643
50M,6,2,0.017976772040128708,0.020858686417341232,0.0028819143772125244
50M,6,3,0.018593180924654007,0.017697183415293694,-0.0008959975093603134
