checkpoint,layer,head,dla_score
50M,7,0,0.0017592054791748524
50M,7,1,0.024164490401744843
50M,7,2,0.00012594378495123237
50M,7,3,-0.026887129992246628
50M,7,4,-0.0042158192954957485
50M,7,5,0.00512080080807209
50M,7,6,-0.016816284507513046
50M,7,7,-0.010382584296166897
50M,7,8,-0.022799232974648476
50M,7,9,0.006481535732746124
50M,7,10,-0.00851540919393301
50M,7,11,-0.005106971133500338
50M,8,0,0.006575433537364006
50M,8,1,-0.006804599892348051
50M,8,2,-0.03252452611923218
50M,8,3,0.00042881444096565247
50M,8,4,-0.04959504306316376
50M,8,5,-0.018326209858059883
50M,8,6,-6.473167741205543e-05
50M,8,7,0.01490098237991333
50M,8,8,-0.019851023331284523
50M,8,9,0.013538424856960773
50M,8,10,-0.03563569486141205
50M,8,11,-0.019725849851965904
50M,9,0,-0.0013776355190202594
50M,9,1,0.00794759951531887
50M,9,2,-0.0009039044380187988
50M,9,3,-0.0012959579471498728
50M,9,4,-0.011276463977992535
50M,9,5,0.002300124615430832
50M,9,6,0.015180204063653946
50M,9,7,-0.026812540367245674
50M,9,8,0.01936580054461956
50M,9,9,0.0031238170340657234
50M,9,10,0.0014807035913690925
50M,9,11,-0.041083015501499176
50M,10,0,-0.0012926268391311169
50M,10,1,-0.0014988821931183338
50M,10,2,-0.018341509625315666
50M,10,3,-0.004798175301402807
50M,10,4,0.008179406635463238
50M,10,5,-0.054069168865680695
50M,10,6,0.010806123726069927
50M,10,7,-0.008603129535913467
50M,10,8,0.003235778771340847
50M,10,9,-0.010174911469221115
50M,10,10,-0.0020528717432171106
50M,10,11,-0.0038257273845374584
50M,11,0,-0.006792871281504631
50M,11,1,0.005815140437334776
50M,11,2,0.001990641001611948
50M,11,3,-0.004293703008443117
50M,11,4,0.013084000907838345
50M,11,5,0.00967508926987648
50M,11,6,0.023444533348083496
50M,11,7,0.01303039863705635
50M,11,8,0.0060149128548800945
50M,11,9,0.001177607337012887
50M,11,10,-0.0070805358700454235
50M,11,11,-0.011686514131724834
200M,0,0,-0.0004735880938824266
200M,0,1,-0.0005320672644302249
200M,0,2,-0.009026183746755123
200M,0,3,-0.0010957312770187855
200M,0,4,0.0031581392977386713
200M,0,5,0.002929804613813758
200M,0,6,0.005196485202759504
200M,0,7,-0.002292427234351635
200M,0,8,-0.00021215651941020042
200M,0,9,-0.0017815037863329053
200M,0,10,0.0011867525754496455
200M,0,11,0.0014039898524060845
200M,1,0,-0.015426695346832275
200M,1,1,0.008560401387512684
200M,1,2,0.020272212103009224
