base,layer,head,score_base,score_ppo,delta_induction
50M,0,0,0.019248904660344124,0.01886397786438465,-0.00038492679595947266
50M,0,1,0.01954834908246994,0.019461989402770996,-8.635967969894409e-05
50M,0,2,0.011325051076710224,0.011757378466427326,0.00043232738971710205
50M,0,3,0.01981659233570099,0.02031080052256584,0.0004942081868648529
50M,0,4,0.01970727927982807,0.019656922668218613,-5.035661160945892e-05
50M,0,5,0.01501056831330061,0.015277620404958725,0.0002670520916581154
50M,0,6,0.01958935521543026,0.020094698294997215,0.0005053430795669556
50M,0,7,0.018834058195352554,0.019782420247793198,0.0009483620524406433
50M,0,8,0.010992666706442833,0.01070720050483942,-0.00028546620160341263
50M,0,9,0.01982663758099079,0.020244279876351357,0.0004176422953605652
50M,0,10,0.017673742026090622,0.0182444266974926,0.0005706846714019775
50M,0,11,0.014373312704265118,0.014668605290353298,0.00029529258608818054
50M,1,0,0.01768495887517929,0.01794198341667652,0.00025702454149723053
50M,1,1,0.017730865627527237,0.017507994547486305,-0.0002228710800409317
50M,1,2,0.017970209941267967,0.018416820093989372,0.00044661015272140503
50M,1,3,0.01900559663772583,0.019720010459423065,0.0007144138216972351
50M,1,4,0.015886573120951653,0.018557196483016014,0.0026706233620643616
50M,1,5,0.021485846489667892,0.02201974205672741,0.0005338955670595169
50M,1,6,0.017013119533658028,0.017176909372210503,0.00016378983855247498
50M,1,7,0.012827770784497261,0.01294975820928812,0.00012198742479085922
50M,1,8,0.01809517852962017,0.01786712184548378,-0.00022805668413639069
50M,1,9,0.01766423135995865,0.017877139151096344,0.0002129077911376953
50M,1,10,0.015389553271234035,0.01565667800605297,0.0002671247348189354
50M,1,11,0.021641485393047333,0.021426444873213768,-0.00021504051983356476
50M,2,0,0.009012706577777863,0.008696588687598705,-0.00031611789017915726
50M,2,1,0.009347223676741123,0.008699439465999603,-0.0006477842107415199
50M,2,2,0.01983039267361164,0.01992410607635975,9.371340274810791e-05
50M,2,3,0.011450737714767456,0.010469475761055946,-0.0009812619537115097
50M,2,4,0.011221443302929401,0.009940500371158123,-0.0012809429317712784
50M,2,5,0.020260034129023552,0.020108098164200783,-0.00015193596482276917
50M,2,6,0.010960740968585014,0.010846755467355251,-0.00011398550122976303
50M,2,7,0.008504778146743774,0.007534245029091835,-0.0009705331176519394
50M,2,8,0.018892919644713402,0.019871821627020836,0.000978901982307434
50M,2,9,0.015628395602107048,0.014734421856701374,-0.000893973745405674
50M,2,10,0.018593085929751396,0.01814274676144123,-0.0004503391683101654
50M,2,11,0.013053227216005325,0.011494039557874203,-0.0015591876581311226
50M,3,0,0.02766869030892849,0.02786931023001671,0.0002006199210882187
50M,3,1,0.024047870188951492,0.02454795129597187,0.0005000811070203781
