checkpoint,probe_correct,logit_diff
10M,boy,0.14030027389526367
10M,dog,0.14820623397827148
10M,king,1.0524826049804688
10M,man,1.3710134029388428
50M,boy,0.14942216873168945
50M,dog,-0.22901058197021484
50M,king,1.787083625793457
50M,man,0.7105622291564941
1000M,boy,-1.2614336013793945
1000M,dog,-2.125040054321289
1000M,king,0.8103084564208984
1000M,man,0.8229465484619141
